Xnew	Ynew	Z_lit_vrai	DepthADV
258052.43229800000	5376590.66559000034	68.70520000000	0.52480000000
258052.52593400000	5376590.74679000024	68.68820000000	0.54180000000
258052.62472800000	5376590.83588999975	68.61220000000	0.61780000000
258052.71438300001	5376590.91817000043	68.70520000000	0.52480000000
258052.82053100000	5376591.02513999958	68.66920000000	0.56080000000
258053.05524200000	5376589.72993000038	68.66920000000	0.56080000000
258053.16627300001	5376589.83079999965	68.70520000000	0.52480000000
258053.25992800001	5376589.91299999971	68.68820000000	0.54180000000
258053.35370199999	5376590.00121000037	68.68820000000	0.54180000000
258053.46061400001	5376590.09614999965	68.63120000000	0.59880000000
258053.55838800000	5376590.18427999970	68.72520000000	0.50480000000
258053.78960900000	5376588.91514999978	68.76120000000	0.46880000000
258053.88312799999	5376588.99034999963	68.72520000000	0.50480000000
258053.97678400000	5376589.07254999969	68.63220000000	0.59780000000
258054.07955800000	5376589.16057999991	68.63220000000	0.59780000000
258054.18535200000	5376589.24954999983	68.36320000000	0.86680000000
258054.30450100001	5376589.35625999980	68.32920000000	0.90080000000
258054.41241799999	5376588.07454000041	68.75220000000	0.47780000000
258054.53221300000	5376588.16323000006	68.78820000000	0.44180000000
258054.62986900000	5376588.24536000006	68.77120000000	0.45880000000
258054.74052600001	5376588.32722999994	68.61920000000	0.61080000000
258054.84318299999	5376588.40924999956	68.71420000000	0.51580000000
258054.94983999999	5376588.49120000005	68.69520000000	0.53480000000
258055.03612800001	5376587.22891000006	68.75520000000	0.47480000000
258055.14264700000	5376587.30386000033	68.71720000000	0.51280000000
258055.25744200000	5376587.39264999982	68.78720000000	0.44280000000
258055.35998099999	5376587.46867999993	68.70720000000	0.52280000000
258055.46249999999	5376587.54370000027	68.72420000000	0.50580000000
258055.58129599999	5376587.63241000008	68.68820000000	0.54180000000
258055.63069799999	5376586.37686000019	68.61620000000	0.61380000000
258055.75761199999	5376586.47140999977	68.65020000000	0.57980000000
258055.86413100001	5376586.54636000004	68.55520000000	0.67480000000
258055.98392699999	5376586.63504999969	68.55520000000	0.67480000000
258056.09044599999	5376586.70999999996	68.65020000000	0.57980000000
258056.19610299999	5376586.79196000006	68.68820000000	0.54180000000
258056.21638599999	5376585.58200000040	68.54020000000	0.68980000000
258056.32290599999	5376585.65694000013	68.50220000000	0.72780000000
258056.43344500000	5376585.73280999996	68.56020000000	0.66980000000
258056.54810300001	5376585.81460000016	68.63620000000	0.59380000000
258056.67589899999	5376585.90314000007	68.58020000000	0.64980000000
258056.79555700000	5376585.98483000044	68.46920000000	0.76080000000
258056.72067400001	5376584.71769999992	68.50420000000	0.72580000000
258056.83607700001	5376584.78646999970	68.46620000000	0.76380000000
258056.94647900001	5376584.85534000024	68.55620000000	0.67380000000
258057.07002000001	5376584.93094999995	68.63220000000	0.59780000000
258057.18442199999	5376584.99973999988	68.49720000000	0.73280000000
258057.29984500000	5376585.06950999983	68.53520000000	0.69480000000
258057.14993700001	5376583.85388000030	68.50420000000	0.72580000000
258057.26922200000	5376583.91657000035	68.46620000000	0.76380000000
258057.39250700001	5376583.97917999979	68.63220000000	0.59780000000
258057.51079299999	5376584.04188999999	68.63220000000	0.59780000000
258057.63407800000	5376584.10450999998	68.65120000000	0.57880000000
258057.77462000001	5376584.17979000043	68.61720000000	0.61280000000
258057.53217500000	5376582.98998000007	68.68820000000	0.54180000000
258057.65534299999	5376583.04659000039	68.65020000000	0.57980000000
258057.77851100001	5376583.10319999978	68.63120000000	0.59880000000
258057.90554199999	5376583.15273999982	68.63120000000	0.59880000000
258058.02871000001	5376583.20935000014	68.65020000000	0.57980000000
258058.17813499999	5376583.27845000010	68.61620000000	0.61380000000
258057.85091899999	5376582.15333999973	68.66620000000	0.56380000000
258057.97783200000	5376582.19687000010	68.62820000000	0.60180000000
258058.10586300000	5376582.24638000038	68.60920000000	0.62080000000
258058.23291300001	5376582.29691999964	68.60920000000	0.62080000000
258058.35994400000	5376582.34645000007	68.62820000000	0.60180000000
258058.48785700000	5376582.38996000029	68.66620000000	0.56380000000
258058.12750100001	5376581.25850000046	68.60020000000	0.62980000000
258058.27555300001	5376581.30862000026	68.63420000000	0.59580000000
258058.40746700001	5376581.35204999987	68.61520000000	0.61480000000
258058.53451699999	5376581.40258000046	68.61520000000	0.61480000000
258058.67855000001	5376581.45177999977	68.55920000000	0.67080000000
258058.81446299999	5376581.49514000025	68.60020000000	0.62980000000
258058.42910600000	5376580.41519000009	68.67220000000	0.55780000000
258058.55601900001	5376580.45872000046	68.63420000000	0.59580000000
258058.68793200000	5376580.50215000007	68.61520000000	0.61480000000
258058.81472800000	5376580.53968000039	68.61520000000	0.61480000000
258058.94664099999	5376580.58311999962	68.63420000000	0.59580000000
258059.07355400000	5376580.62664999999	68.67220000000	0.55780000000
258058.66382200000	5376579.57918999996	68.60520000000	0.62480000000
258058.81573800000	5376579.62222999986	68.63920000000	0.59080000000
258058.94365100001	5376579.66574000008	68.62020000000	0.60980000000
258059.07944700000	5376579.70309999958	68.62020000000	0.60980000000
258059.20636000001	5376579.74662999995	68.63920000000	0.59080000000
258059.33413599999	5376579.78313999996	68.67720000000	0.55280000000
258058.93565999999	5376578.74846999999	68.66820000000	0.56180000000
258059.06345500000	5376578.78598000016	68.63020000000	0.59980000000
258059.19436900000	5376578.82943999954	68.61120000000	0.61880000000
258059.33014500001	5376578.86579000019	68.61120000000	0.61880000000
258059.46207899999	5376578.91021999996	68.63020000000	0.59980000000
258059.60999299999	5376578.95333999954	68.59620000000	0.63380000000
